Nome,Presença,Status,Frequência
ad,0,Evadiu,"0,00%"
bf,0,Evadiu,"0,00%"
bn,0,Evadiu,"0,00%"
bq,0,Evadiu,"0,00%"
gd,0,Evadiu,"0,00%"
ky,0,Evadiu,"0,00%"
la,0,Evadiu,"0,00%"
kg,1,Evadiu,"3,03%"
be,2,Evadiu,"6,06%"
hs,3,Evadiu,"9,09%"
jr,4,Evadiu,"12,12%"
ln,7,Risco Alto,"21,21%"
j,8,Risco Alto,"24,24%"
ai,8,Risco Alto,"24,24%"
kp,8,Risco Alto,"24,24%"
aj,10,Risco Alto,"30,30%"
at,11,Risco Alto,"33,33%"
fg,10,Risco Alto,"30,30%"
ay,11,Risco Alto,"33,33%"
ir,11,Risco Alto,"33,33%"
jh,14,Risco,"42,42%"
lj,11,Risco Alto,"33,33%"
ck,12,Risco Alto,"36,36%"
ff,12,Risco Alto,"36,36%"
gz,12,Risco Alto,"36,36%"
cy,13,Risco Alto,"39,39%"
iu,16,Risco,"48,48%"
jq,16,Risco,"48,48%"
ax,17,Risco,"51,52%"
dq,17,Risco,"51,52%"
dp,17,Risco,"51,52%"
iy,17,Risco,"51,52%"
bb,18,Risco,"54,55%"
cx,18,Risco,"54,55%"
c,20,Pouco Risco,"60,61%"
ia,20,Pouco Risco,"60,61%"
if,22,Pouco Risco,"66,67%"
bg,22,Pouco Risco,"66,67%"
da,22,Pouco Risco,"66,67%"
fm,22,Pouco Risco,"66,67%"
av,24,Satisfatório,"72,73%"
hb,24,Satisfatório,"72,73%"
lt,25,Satisfatório,"75,76%"
bo,25,Satisfatório,"75,76%"
dm,25,Satisfatório,"75,76%"
eq,25,Satisfatório,"75,76%"
ie,25,Satisfatório,"75,76%"
cg,27,Satisfatório,"81,82%"
fn,27,Satisfatório,"81,82%"
ka,27,Satisfatório,"81,82%"
az,28,Satisfatório,"84,85%"
cv,28,Satisfatório,"84,85%"
cu,29,Satisfatório,"87,88%"
al,30,Satisfatório,"90,91%"
jm,30,Satisfatório,"90,91%"
bw,31,Satisfatório,"93,94%"
lp,31,Satisfatório,"93,94%"
di,31,Satisfatório,"93,94%"
lr,31,Satisfatório,"93,94%"
dk,29,Satisfatório,"87,88%"
er,29,Satisfatório,"87,88%"
ft,29,Satisfatório,"87,88%"
ii,29,Satisfatório,"87,88%"
de,28,Satisfatório,"84,85%"
le,28,Satisfatório,"84,85%"
cw,27,Satisfatório,"81,82%"
fj,27,Satisfatório,"81,82%"
m,26,Satisfatório,"78,79%"
as,26,Satisfatório,"78,79%"
iq,27,Satisfatório,"81,82%"
jy,26,Satisfatório,"78,79%"
mb,26,Satisfatório,"78,79%"
gy,26,Satisfatório,"78,79%"
lb,25,Satisfatório,"75,76%"
kc,24,Satisfatório,"72,73%"
bp,24,Satisfatório,"72,73%"
dd,24,Satisfatório,"72,73%"
kl,23,Pouco Risco,"69,70%"
jd,22,Pouco Risco,"66,67%"
au,21,Pouco Risco,"63,64%"
bl,21,Pouco Risco,"63,64%"
bt,20,Pouco Risco,"60,61%"
cn,21,Pouco Risco,"63,64%"
br,18,Risco,"54,55%"
hp,18,Risco,"54,55%"
jg,18,Risco,"54,55%"
lh,17,Risco,"51,52%"
ma,18,Risco,"54,55%"
h,17,Risco,"51,52%"
bv,17,Risco,"51,52%"
hl,17,Risco,"51,52%"
id,16,Risco,"48,48%"
ha,16,Risco,"48,48%"
lo,15,Risco,"45,45%"
fk,26,Satisfatório,"78,79%"
hn,13,Risco Alto,"39,39%"
g,9,Risco Alto,"27,27%"
mc,8,Risco Alto,"24,24%"
il,7,Risco Alto,"21,21%"
hz,5,Evadiu,"15,15%"
kj,5,Evadiu,"15,15%"
cf,4,Evadiu,"12,12%"
cs,3,Evadiu,"9,09%"
ez,3,Evadiu,"9,09%"
bs,2,Evadiu,"6,06%"
gb,2,Evadiu,"6,06%"
gv,2,Evadiu,"6,06%"
gn,2,Evadiu,"6,06%"
bj,1,Evadiu,"3,03%"
iw,1,Evadiu,"3,03%"
ei,0,Evadiu,"0,00%"
fe,0,Evadiu,"0,00%"
fl,0,Evadiu,"0,00%"
kx,0,Evadiu,"0,00%"